id,category,resume_text
25,Data Science,"Education Details 
 MCA   YMCAUST  Faridabad  Haryana
Data Science internship 


Skill Details 
Data Structure Exprience  Less than 1 year months
C Exprience  Less than 1 year months
Data Analysis Exprience  Less than 1 year months
Python Exprience  Less than 1 year months
Core Java Exprience  Less than 1 year months
Database Management Exprience  Less than 1 year monthsCompany Details 
company  Itechpower
description  "
26,Data Science,"SKILLS C Basics IOT Python MATLAB Data Science Machine Learning HTML Microsoft Word Microsoft Excel Microsoft Powerpoint RECOGNITION Academic Secured First place in BTechEducation Details 
August 2014 to May 2018 BTech  Ghatkesar Andhra Pradesh Auroras Scientific and Technological Institute
June 2012 to May 2014  Secondary Education Warangal Telangana SR Junior College
Data Science 


Skill Details 
MS OFFICE Exprience  Less than 1 year months
C Exprience  Less than 1 year months
machine learning Exprience  Less than 1 year months
data science Exprience  Less than 1 year months
Matlab Exprience  Less than 1 year monthsCompany Details 
company  
description  "
27,Data Science,"Skills  Python  Tableau  Data Visualization  R Studio  Machine Learning  Statistics IABAC Certified Data Scientist with versatile experience over 1 years in managing business data science consulting and leading innovation projects bringing business ideas to working real world solutions Being a strong advocator of augmented era where human capabilities are enhanced by machines Fahed is passionate about bringing business concepts in area of machine learning AI robotics etc to real life solutionsEducation Details 
January 2017 B Tech Computer Science  Engineering Mohali Punjab Indo Global College of Engineering
Data Science Consultant 

Data Science Consultant  Datamites
Skill Details 
MACHINE LEARNING Exprience  13 months
PYTHON Exprience  24 months
SOLUTIONS Exprience  24 months
DATA SCIENCE Exprience  24 months
DATA VISUALIZATION Exprience  24 months
Tableau Exprience  24 monthsCompany Details 
company  Datamites
description   Analyzed and processed complex data sets using advanced querying visualization and analytics tools
 Responsible for loading extracting and validation of client data
 Worked on manipulating cleaning  processing data using python
 Used Tableau for data visualization
company  Heretic Solutions Pvt Ltd
description   Worked closely with business to identify issues and used data to propose solutions for effective decision making
 Manipulating cleansing  processing data using Python Excel and R
 Analyzed raw data drawing conclusions  developing recommendations
 Used machine learning tools and statistical techniques to produce solutions to problems"
28,Data Science,"Education Details 
 BTech   Rayat and Bahra Institute of Engineering and Biotechnology
Data Science 

Data Science
Skill Details 
Numpy Exprience  Less than 1 year months
Machine Learning Exprience  Less than 1 year months
Tensorflow Exprience  Less than 1 year months
Scikit Exprience  Less than 1 year months
Python Exprience  Less than 1 year months
GCP Exprience  Less than 1 year months
Pandas Exprience  Less than 1 year months
Neural Network Exprience  Less than 1 year monthsCompany Details 
company  Wipro
description  Bhawana Aggarwal
EMailbhawanachdgmailcom
Phone 09876971076
VVersatile highenergy professional targeting challenging assignments in Machine
PROFILE SUMMARY
 An IT professional with knowledge and experience of 2 years in Wipro Technologies in Machine
Learning Deep Learning Data Science Python Software Development
 Skilled in managing endtoend development and software products  projects from inception requirement
specs planning designing implementation configuration and documentation
 Knowledge on Python  Machine Learning Deep Learning data Science Algorithms Neural Network
NLP GCP
 Knowledge on Python Libraries like Numpy Pandas Seaborn  Matplotlib Cufflinks
 Knowledge on different algorithms in Machine learning like KNN Decision Tree Bias variance Trade off
Support vector MachineSVMLogistic Regression Neural networks
 Have knowledge on unsupervised Supervised and reinforcement data
 Programming experience in relational platforms like MySQLOracle
 Have knowledge on Some programming language like CJava
 Experience in cloud based environment like Google Cloud
 Working on different Operating System like Linux Ubuntu Windows
 Good interpersonal and communication skills
 Problem solving skills with the ability to think laterally and to think with a medium term and long term
perspective
 Flexibility and an open attitude to change
 Ability to create define and own frameworks with a strong emphasis on code reusability
TECHNICAL SKILLS
Programming Languages Python C
Libraries Seaborn Numpy Pandas Cufflinks Matplotlib
Algorithms
KNN Decision Tree Linear regression Logistic Regression Neural Networks K means clustering
Tensorflow SVM
Databases SQL Oracle
Operating Systems Linux Window
Development Environments NetBeans Notebooks Sublime
Ticketing tools Service Now Remedy
Education
UG Education
BTech Computer Science from Rayat and Bahra Institute of Engineering and Biotechnology passed with 784in
2016
Schooling
XII in 2012 from Moti Ram Arya Sr Secondary SchoolPassed with 784
X in 2010 from Valley Public School Passed with 94 CGPA
WORK EXPERINCE
Title  Wipro Neural Intelligence Platform
Team Size  5
Brief Wipros Neural Intelligence Platform harnesses the power of automation and artificial intelligence
technologiesnatural language processing NLP cognitive machine learning and analytics The platform
comprises three layers a data engagement platform that can easily access and manage multiple structured and
unstructured data sources an intent assessment and reasoning engine that includes sentiment and predictive
analytics and a deep machine learning engine that can sense act and learn over time The project entailed
automating responses to user queries at the earliest The Monster Bot using the power of Deep Machine Learning
NLP to handle such queries User can see the how their queries can be answered quickly like allL1 activities can be
eliminated
Entity Extractor  This involves text extraction and NLP for fetching out important information from the text like
dates names places contact numbers etc This involves Regex Bluemix NLU apis and machine learning using
Tensor flow for further learning of new entities
Classifier This involves the classifications of classes training of dataset and predicting the output using the SKLearn
classifier MNB SVM SGD as Classifier and SGD for the optimization to map the user queries with the best
suited response and make the system efficient
NER A Deep Learning NER Model is trained to extract the entities from the text Entities like Roles Skills
Organizations can be extracted from raw text RNNLSTM Bidirectional model is trained for extracting such entities
using Keras TensorFlow framework
OTHER PROJECTS
Title  Diabetes Detection
Brief  Developed the software which can detect whether the person is suffering from Diabetes or not and got the third
prize in it
TRAINING AND CERTIFICATIONS
Title Python Training Machine Learning Data Science Deep Learning
Organization Udemy Coursera Machine Learning Deep Learning
Personal Profile
Fathers Name Mr Tirlok Aggarwal
Language Known  English  Hindi
Marital Status Single
Date of BirthGender19931220YYYYMMDD F
company  Wipro
description  Developing programs in Python
company  Wipro
description  Title  Wipro Neural Intelligence Platform
Team Size  5
Brief Wipros Neural Intelligence Platform harnesses the power of automation and artificial intelligence
technologiesnatural language processing NLP cognitive machine learning and analytics The platform
comprises three layers a data engagement platform that can easily access and manage multiple structured and
unstructured data sources an intent assessment and reasoning engine that includes sentiment and predictive
analytics and a deep machine learning engine that can sense act and learn over time The project entailed
automating responses to user queries at the earliest The Monster Bot using the power of Deep Machine Learning
NLP to handle such queries User can see the how their queries can be answered quickly like allL1 activities can be
eliminated
Entity Extractor  This involves text extraction and NLP for fetching out important information from the text like
dates names places contact numbers etc This involves Regex Bluemix NLU apis and machine learning using
Tensor flow for further learning of new entities
Classifier This involves the classifications of classes training of dataset and predicting the output using the SKLearn
classifier MNB SVM SGD as Classifier and SGD for the optimization to map the user queries with the best
suited response and make the system efficient
NER A Deep Learning NER Model is trained to extract the entities from the text Entities like Roles Skills
Organizations can be extracted from raw text RNNLSTM Bidirectional model is trained for extracting such entities
using Keras TensorFlow framework
company  Wipro Technologies
description  An IT professional with knowledge and experience of 2 years in Wipro Technologies in Machine
Learning Deep Learning Data Science Python Software Development
 Skilled in managing endtoend development and software products  projects from inception requirement
specs planning designing implementation configuration and documentation
 Knowledge on Python  Machine Learning Deep Learning data Science Algorithms Neural Network
NLP GCP
 Knowledge on Python Libraries like Numpy Pandas Seaborn  Matplotlib Cufflinks
 Knowledge on different algorithms in Machine learning like KNN Decision Tree Bias variance Trade off
Support vector MachineSVMLogistic Regression Neural networks
 Have knowledge on unsupervised Supervised and reinforcement data
 Programming experience in relational platforms like MySQLOracle
 Have knowledge on Some programming language like CJava
 Experience in cloud based environment like Google Cloud
 Working on different Operating System like Linux Ubuntu Windows
 Good interpersonal and communication skills
 Problem solving skills with the ability to think laterally and to think with a medium term and long term
perspective
 Flexibility and an open attitude to change
 Ability to create define and own frameworks with a strong emphasis on code reusability"
29,Data Science,"Personal Skills  Ability to quickly grasp technical aspects and willingness to learn  High energy levels  Result oriented Education Details 
January 2018 Master of Engineering Computer Technology  Application Bhopal Madhya Pradesh Truba Institute of Engineering  Information Technology
January 2010 BE computer science Bhopal Madhya Pradesh RKDF Institute of Science and Technology College of Engineering
January 2006 Polytechnic Information Technology Vidisha Madhya Pradesh SATI Engineering College in Vidisha
January 2003 Mtech Thesis Detail  BMCH School in Ganj basoda
Data science 

I have six month experience in Data Science Key Skills  Experience in Machine Learning Deep Leaning NLP Python SQL Web Scraping Good knowledge in computer subjects and ability to update
Skill Details 
Experience in Machine Learning Deep Learning NLP Python SQL Web Crawling HTMLCSS Exprience  Less than 1 year monthsCompany Details 
company  RNTAI Technology Solution
description  Text classification using Machine learning Algorithms with python
Practical knowledge of Deep learning algorithms such as Recurrent Neural NetworksRNN
Develop custom data models and algorithms to apply to dataset
Experience with Python packages like Pandas Scikitlearn Tensor Flow Numpy Matplotliv NLTK
Comfort with SQL MYSQL
Sentiment analysis
Apply leave Dataset using classification technique like Tfidf  LSA with cosine similarity using Machine learning Algorithms
Web crawling using Selenium web driver and Beautiful Soup with python
company  Life Insurance Corporation of India Bhopal
description  Explaining policy features and the benefits
 Updated knowledge of life insurance products and shared with customers"
30,Data Science,"Expertise  Data and Quantitative Analysis  Decision Analytics  Predictive Modeling  DataDriven Personalization  KPI Dashboards  Big Data Queries and Interpretation  Data Mining and Visualization Tools  Machine Learning Algorithms  Business Intelligence BI  Research Reports and Forecasts Education Details 
 PGP in Data Science  Mumbai Maharashtra Aegis School of data science  Business
 BE in Electronics  Communication Electronics  Communication Indore Madhya Pradesh IES IPS Academy
Data Scientist 

Data Scientist with PR Canada
Skill Details 
Algorithms Exprience  6 months
BI Exprience  6 months
Business Intelligence Exprience  6 months
Machine Learning Exprience  24 months
Visualization Exprience  24 months
spark Exprience  24 months
python Exprience  36 months
tableau Exprience  36 months
Data Analysis Exprience  24 monthsCompany Details 
company  Aegis school of Data Science  Business
description  Mostly working on industry project for providing solution along with Teaching Appointments Teach undergraduate and graduatelevel courses in Spark and Machine Learning as an adjunct faculty member at Aegis School of Data Science Mumbai 2017 to Present
company  Aegis school of Data  Business
description  Data Science Intern Nov 2015 to Jan 2016

Furnish executive leadership team with insights analytics reports and recommendations enabling effective strategic planning across all business units distribution channels and product lines

 Chat Bot using AWS LEX and Tensor flow  Python
The goal of project creates a chat bot for an academic institution or university to handle queries related courses offered by that institute The objective of this task is to reduce human efforts as well as reduce man made errors Even by this companies handle their client 24x7 In this case companies are academic institutions and clients are participants or students
 Web scraping using Selenium web driver   Python
The task is to scrap the data from the online messaging portal in a text format and have to find the pattern form it
 Data Visualization and Data insights   Hadoop Eco System Hive PySpark QlikSense
The goal of this project is to build a Business Solutions to a Internet Service Provider Company like handling data which is generated per day basis for that we have to visualize that data and find the usage pattern form it and have a generate a reports
 Image Based Fraud Detection   Microsoft Face API PySpark Open CV
The main goal of project is Recognize similarity for a face to given Database images Face recognition is the recognizing a special face from set of different faces Face is extracted and then compared with the database Image if that Image recognized then the person already applied for loan from somewhere else and now hiding his or her identity this is how we are going to prevent the frauds in the initial stage itself
 Churn Analysis for Internet Service Provider   R Python Machine Learning Hadoop
The objective is to identify the customer who is likely to churn in a given period of time we have to pretend the customer giving incentive offers
 Sentiment Analysis   Python NLP Apache Spark service in IBM Bluemix
This project is highly emphasis on tweets from Twitter data were taken for mobile networks service provider to do a sentiment analysis and analyze whether the expressed opinion was positive negative or neutral capture the emotions of the tweets and comparative analysis

Quantifiable Results
 Mentored 712 Data Science Enthusiast each year that have all since gone on to graduate school in Data Science and Business Analytics
 Reviewed and evaluated 2040 Research Papers on Data Science for one of the largest Data Science Conference called Data Science Congress by Aegis School of Business Mumbai
 Heading a solution providing organization called Data Science Delivered into Aegis school of Data Science Mumbai and managed 45 live projects using Data Science techniques
 Working for some social cause with the help of Data Science for Social Goods Committee where our team developed a product called Lets find a missing Child for helping society
company  IBM India pvt ltd
description  Mostly worked on blumix and IBM Watson for Data science"
31,Data Science,"Skills  Programming Languages Python pandas numpy scipy scikitlearn matplotlib Sql Java JavaScriptJQuery  Machine learning Regression SVM Nave Bayes KNN Random Forest Decision Trees Boosting techniques Cluster Analysis Word Embedding Sentiment Analysis Natural Language processing Dimensionality reduction Topic Modelling LDA NMF PCA  Neural Nets  Database Visualizations Mysql SqlServer Cassandra Hbase ElasticSearch D3js DCjs Plotly kibana matplotlib ggplot Tableau  Others Regular Expression HTML CSS Angular 6 Logstash Kafka Python Flask Git Docker computer vision  Open CV and understanding of Deep learningEducation Details 

Data Science Assurance Associate 

Data Science Assurance Associate  Ernst  Young LLP
Skill Details 
JAVASCRIPT Exprience  24 months
jQuery Exprience  24 months
Python Exprience  24 monthsCompany Details 
company  Ernst  Young LLP
description  Fraud Investigations and Dispute Services   Assurance
TECHNOLOGY ASSISTED REVIEW
TAR Technology Assisted Review assists in accelerating the review process and run analytics and generate reports
 Core member of a team helped in developing automated review platform tool from scratch for assisting E discovery domain this tool implements predictive coding and topic modelling by automating reviews resulting in reduced labor costs and time spent during the lawyers review
 Understand the end to end flow of the solution doing research and development for classification models predictive analysis and mining of the information present in text data Worked on analyzing the outputs and precision monitoring for the entire tool
 TAR assists in predictive coding topic modelling from the evidence by following EY standards Developed the classifier models in order to identify red flags and fraudrelated issues

Tools  Technologies Python scikitlearn tfidf word2vec doc2vec cosine similarity Nave Bayes LDA NMF for topic modelling Vader and text blob for sentiment analysis Matplot lib Tableau dashboard for reporting

MULTIPLE DATA SCIENCE AND ANALYTIC PROJECTS USA CLIENTS
TEXT ANALYTICS  MOTOR VEHICLE CUSTOMER REVIEW DATA  Received customer feedback survey data for past one year Performed sentiment Positive Negative  Neutral and time series analysis on customer comments across all 4 categories
 Created heat map of terms by survey category based on frequency of words  Extracted Positive and Negative words across all the Survey categories and plotted Word cloud
 Created customized tableau dashboards for effective reporting and visualizations
CHATBOT  Developed a user friendly chatbot for one of our Products which handle simple questions about hours of operation reservation options and so on
 This chat bot serves entire product related questions Giving overview of tool via QA platform and also give recommendation responses so that user question to build chain of relevant answer
 This too has intelligence to build the pipeline of questions as per user requirement and asks the relevant recommended questions

Tools  Technologies Python Natural language processing NLTK spacy topic modelling Sentiment analysis Word Embedding scikitlearn JavaScriptJQuery SqlServer

INFORMATION GOVERNANCE
Organizations to make informed decisions about all of the information they store The integrated Information Governance portfolio synthesizes intelligence across unstructured data sources and facilitates action to ensure organizations are best positioned to counter information risk
 Scan data from multiple sources of formats and parse different file formats extract Meta data information push results for indexing elastic search and created customized interactive dashboards using kibana
 Preforming ROT Analysis on the data which give information of data which helps identify content that is either Redundant Outdated or Trivial
 Preforming fulltext search analysis on elastic search with predefined methods which can tag as PII personally identifiable information social security numbers addresses names etc which frequently targeted during cyberattacks
Tools  Technologies Python Flask Elastic Search Kibana

FRAUD ANALYTIC PLATFORM
Fraud Analytics and investigative platform to review all red flag cases
 FAP is a Fraud Analytics and investigative platform with inbuilt case manager and suite of Analytics for various ERP systems
 It can be used by clients to interrogate their Accounting systems for identifying the anomalies which can be indicators of fraud by running advanced analytics
Tools  Technologies HTML JavaScript SqlServer JQuery CSS Bootstrap Nodejs D3js DCjs"
32,Data Science,"Education Details 
May 2013 to May 2017 BE   UITRGPV
Data Scientist 

Data Scientist  Matelabs
Skill Details 
Python Exprience  Less than 1 year months
Statsmodels Exprience  12 months
AWS Exprience  Less than 1 year months
Machine learning Exprience  Less than 1 year months
Sklearn Exprience  Less than 1 year months
Scipy Exprience  Less than 1 year months
Keras Exprience  Less than 1 year monthsCompany Details 
company  Matelabs
description  ML Platform for business professionals dummies and enthusiasts
60A Koramangala 5th block
AchievementsTasks behind sukh sagar Bengaluru
India                               Developed and deployed auto preprocessing steps of machine learning mainly missing value
treatment outlier detection encoding scaling feature selection and dimensionality reduction
Deployed automated classification and regression model
linkedincominadityarathore
b4600b146                           Reasearch and deployed the time series forecasting model ARIMA SARIMAX Holtwinter and
Prophet
Worked on metafeature extracting problem
githubcomrathorology
Implemented a state of the art research paper on outlier detection for mixed attributes
company  Matelabs
description  "
33,Data Science,"Areas of Interest Deep Learning Control System Design Programming inPython Electric Machinery Web Development Analytics Technical Activities q Hindustan Aeronautics Limited Bangalore  For 4 weeks under the guidance of Mr Satish Senior Engineer in the hangar of Mirage 2000 fighter aircraft Technical Skills Programming Matlab Python and Java LabView Python WebFrameWorkDjango Flask LTSPICEintermediate Languages and and MIPOWERintermediate Github GitBash Jupyter Notebook Xampp MySQLBasics Python Software Packages InterpretersAnaconda Python2 Python3 Pycharm Java IDEEclipse Operating Systems Windows Ubuntu DebianKali Linux Education Details 
January 2019 BTech Electrical and Electronics Engineering  Manipal Institute of Technology
January 2015    DEEKSHA CENTER
January 2013    Little Flower Public School
August 2000    Manipal Academy of Higher
DATA SCIENCE 

DATA SCIENCE AND ELECTRICAL ENTHUSIAST
Skill Details 
Data Analysis Exprience  Less than 1 year months
excel Exprience  Less than 1 year months
Machine Learning Exprience  Less than 1 year months
mathematics Exprience  Less than 1 year months
Python Exprience  Less than 1 year months
Matlab Exprience  Less than 1 year months
Electrical Engineering Exprience  Less than 1 year months
Sql Exprience  Less than 1 year monthsCompany Details 
company  THEMATHCOMPANY
description  I am currently working with a Casino based operatorname not to be disclosed in MacauI need to segment the customers who visit their property based on the value the patrons bring into the companyBasically prove that the segmentation can be done in much better way than the current system which they have with proper numbers to back it upHenceforth they can implement target marketing strategy to attract their customers who add value to the business"
34,Data Science,"Skills  R  Python  SAP HANA  Tableau  SAP HANA SQL  SAP HANA PAL  MS SQL  SAP Lumira  C  Linear Programming  Data Modelling  Advance Analytics  SCM Analytics  Retail Analytics Social Media Analytics  NLP Education Details 
January 2017 to January 2018 PGDM Business Analytics  Great Lakes Institute of Management  Illinois Institute of Technology
January 2013 Bachelor of Engineering Electronics and Communication Bengaluru Karnataka New Horizon College of Engineering Bangalore Visvesvaraya Technological University
Data Science Consultant 

Consultant  Deloitte USI
Skill Details 
LINEAR PROGRAMMING Exprience  6 months
RETAIL Exprience  6 months
RETAIL MARKETING Exprience  6 months
SCM Exprience  6 months
SQL Exprience  Less than 1 year months
Deep Learning Exprience  Less than 1 year months
Machine learning Exprience  Less than 1 year months
Python Exprience  Less than 1 year months
R Exprience  Less than 1 year monthsCompany Details 
company  Deloitte USI
description  The project involved analysing historic deals and coming with insights to optimize future deals
Role Was given raw data carried out end to end analysis and presented insights to client
Key Responsibilities
 Extract data from client systems across geographies
 Understand and build reports in tableau Infer meaningful insights to optimize prices and find out process blockades
Technical Environment R Tableau

Industry Cross Industry
Service Area Cross Industry  Products
Project Name Handwriting recognition
Consultant 3 months
The project involved taking handwritten images and converting them to digital text images by object detection and sentence creation
Role I was developing sentence correction functionality
Key Responsibilities
 Gather data large enough to capture all English words
 Train LSTM models on words
Technical Environment Python

Industry Finance
Service Area Financial Services  BI development Project Name SWIFT
Consultant 8 months
The project was to develop an analytics infrastructure on top of SAP S4 it would user to view
financial reports to respective departments Reporting also included forecasting expenses
Role I was leading the offshore team
Key Responsibilities
 Design  Develop data models for reporting
 Develop ETL for data flow
 Validate various reports
Technical Environment SAP HANA Tableau SAP AO

Industry Healthcare Analytics
Service Area Life Sciences  Product development Project Name Clinical Healthcare System
Consultant 2 months
The project was to develop an analytics infrastructure on top of Argus it would allow users to query faster and provide advance analytics capabilities
Role I was involved from design to deploy phase performed a lot of data restructuring and built
models for insights
Key Responsibilities
 Design  Develop data models for reporting
 Develop and deploy analytical models
 Validate various reports
Technical Environment Data Modelling SAP HANA Tableau NLP

Industry FMCG
Service Area Trade  Promotion
Project Name Consumption Based Planning for Flowers Foods Consultant 8 months
The project involved setting up of CRM and CBP modules
Role I was involved in key data decomposition activities and setting up the base for future year
forecast Over the course of the project I developed various models and carried out key
performance improvements
Key Responsibilities
 Design  Develop HANA models for decomposition
 Develop data flow for forecast
 Developed various views for reporting of CustomerSalesFunds
 Validate various reports in BOBJ
Technical Environment Data Modelling SAP HANA BOBJ Time Series Forecasting

Internal Initiative Industry FMCG
Customer Segmentation and RFM analysis Consultant 3 months
The initiative involved setting up of HANAPython interface and advance analytics on Python Over the course I had successfully segmented data into five core segments using Kmeans and carried out RFM analysis in Python Also developed algorithm to categorize any new customer under the defined buckets
Technical Environment Anaconda3 Python36 HANA SPS12

Industry Telecom Invoice state detection Consultant 1 months
The initiative was to reduce the manual effort in verifying closed and open invoices manually it
involved development to a decision tree to classify openclosed invoices This enabled effort
reduction by 60
Technical Environment R SAP PAL SAP HANA SPS12

Accenture Experience
Industry Analytics  Cross Industry
In Process Analytics for SAP Senior Developer 19 months
Accenture Solutions Pvt Ltd India
The project involved development of SAP analytics tool  In Process Analytics IPA  My role was to develop database objects and data models to provide operational insights to clients
Role I have developed various Finance related KPIs and spearheaded various deployments
Introduced SAP Predictive analytics to reduce development time and reuse functionalities for KPIs and prepared production planning reports
Key Responsibilities
 Involved in information gather phase
 Designed and implemented SAP HANA data modelling using Attribute View Analytic View and
Calculation View
 Developed various KPIs individually using complex SQL scripts in Calculation views
 Created procedures in HANA Database
 Took ownership and developed Dashboard functionality
 Involved in building data processing algorithms to be executed in R server for cluster analysis
Technical Environment R SAP HANA TSQL
Industry Cross Industry
Accenture Testing Accelerator for SAP Database Developer 21 months
Accenture Solutions Pvt Ltd India
Role I have taken care of all development activities for the ATAS tool and have also completed
various deployments of the product
Apart from these activities I was also actively involved in maintenance of the database servers
Production  Quality
Key Responsibilities
 Analyzing business requirements understanding the scope getting requirements clarified
interacting with business and further transform all requirements to generate attribute
mapping documents and reviewing mapping specification documentation
 Create  Update database objects like tables views stored procedures function and packages
 Monitored SQL Server Error Logs and Application Logs through SQL Server Agent
 Prepared Data Flow Diagrams Entity Relationship Diagrams using UML
 Responsible for Designing developing and Normalization of database tables
 Experience in performance tuning using SQL profiler
 Involved in QA UAT knowledge transfer and support activities
Technical Environment SQL Server 20082014 Visual Studio 2010 Windows Server Performance
Monitor SQL Server Profiler C PLSQL TSQL"
35,Data Science,"Education Details 
 MCA   YMCAUST  Faridabad  Haryana
Data Science internship 


Skill Details 
Data Structure Exprience  Less than 1 year months
C Exprience  Less than 1 year months
Data Analysis Exprience  Less than 1 year months
Python Exprience  Less than 1 year months
Core Java Exprience  Less than 1 year months
Database Management Exprience  Less than 1 year monthsCompany Details 
company  Itechpower
description  "
36,Data Science,"SKILLS C Basics IOT Python MATLAB Data Science Machine Learning HTML Microsoft Word Microsoft Excel Microsoft Powerpoint RECOGNITION Academic Secured First place in BTechEducation Details 
August 2014 to May 2018 BTech  Ghatkesar Andhra Pradesh Auroras Scientific and Technological Institute
June 2012 to May 2014  Secondary Education Warangal Telangana SR Junior College
Data Science 


Skill Details 
MS OFFICE Exprience  Less than 1 year months
C Exprience  Less than 1 year months
machine learning Exprience  Less than 1 year months
data science Exprience  Less than 1 year months
Matlab Exprience  Less than 1 year monthsCompany Details 
company  
description  "
37,Data Science,"Skills  Python  Tableau  Data Visualization  R Studio  Machine Learning  Statistics IABAC Certified Data Scientist with versatile experience over 1 years in managing business data science consulting and leading innovation projects bringing business ideas to working real world solutions Being a strong advocator of augmented era where human capabilities are enhanced by machines Fahed is passionate about bringing business concepts in area of machine learning AI robotics etc to real life solutionsEducation Details 
January 2017 B Tech Computer Science  Engineering Mohali Punjab Indo Global College of Engineering
Data Science Consultant 

Data Science Consultant  Datamites
Skill Details 
MACHINE LEARNING Exprience  13 months
PYTHON Exprience  24 months
SOLUTIONS Exprience  24 months
DATA SCIENCE Exprience  24 months
DATA VISUALIZATION Exprience  24 months
Tableau Exprience  24 monthsCompany Details 
company  Datamites
description   Analyzed and processed complex data sets using advanced querying visualization and analytics tools
 Responsible for loading extracting and validation of client data
 Worked on manipulating cleaning  processing data using python
 Used Tableau for data visualization
company  Heretic Solutions Pvt Ltd
description   Worked closely with business to identify issues and used data to propose solutions for effective decision making
 Manipulating cleansing  processing data using Python Excel and R
 Analyzed raw data drawing conclusions  developing recommendations
 Used machine learning tools and statistical techniques to produce solutions to problems"
